Número;ID;Nome;Name;Estreia;Brilhante;Sombroso;Sombroso Brilhante;Dinamax;Dinamax Brilhante
1;0001;Bulbasaur;Bulbasaur;06/07/2016;25/03/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
1;0001-00-00-01;Bulbasaur Halloween;Halloween Bulbasaur;17/10/2019;17/10/2019;;;;
1;0001-00-00-02;Bulbasaur Chapéu de festa;Party hat Bulbasaur;25/02/2020;25/02/2020;;;;
1;0001-00-00-03;Bulbasaur Visor;Visor Bulbasaur;25/07/2020;25/07/2020;;;;
2;0002;Ivysaur;Ivysaur;06/07/2016;25/03/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
2;0002-00-00-01;Ivysaur Chapéu de festa;Party hat Ivysaur;01/07/2025;01/07/2025;;;;
3;0003;Venusaur;Venusaur;06/07/2016;25/03/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
3;0003-00-00-01;Venusaur Chapéu de festa;Party hat Venusaur;01/07/2025;01/07/2025;;;;
3;0003-00-01;Venusaur Clone;Clone Venusaur;25/02/2020;;;;;
3;0003G;Venusaur Gigamax;Gigantamax Venusaur;26/10/2024;26/10/2024;;;;
3;0003M;Mega Venusaur;Mega Venusaur;27/08/2020;27/08/2020;;;;
4;0004;Charmander;Charmander;06/07/2016;19/05/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
4;0004-00-00-01;Charmander Halloween;Halloween Charmander;17/10/2019;17/10/2019;;;;
4;0004-00-00-02;Charmander Chapéu de festa;Party hat Charmander;25/02/2020;25/02/2020;;;;
4;0004-00-00-03;Charmander Visor;Visor Charmander;25/07/2020;25/07/2020;;;;
5;0005;Charmeleon;Charmeleon;06/07/2016;19/05/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
5;0005-00-00-01;Charmeleon Chapéu de festa;Party hat Charmeleon;06/07/2022;06/07/2022;;;;
6;0006;Charizard;Charizard;06/07/2016;19/05/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
6;0006-00-00-01;Charizard Chapéu de festa;Party hat Charizard;06/07/2022;06/07/2022;;;;
6;0006-00-01;Charizard Clone;Clone Charizard;25/02/2020;;;;;
6;0006G;Charizard Gigamax;Gigantamax Charizard;26/10/2024;26/10/2024;;;;
6;0006M-00-01;Mega Charizard X;Mega Charizard X;27/08/2020;27/08/2020;;;;
6;0006M-00-02;Mega Charizard Y;Mega Charizard Y;27/08/2020;27/08/2020;;;;
7;0007;Squirtle;Squirtle;06/07/2016;08/07/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
7;0007-00-00-01;Squirtle Óculos escuros;Sunglasses Squirtle;08/07/2018;08/07/2018;;;;
7;0007-00-00-02;Squirtle Halloween;Halloween Squirtle;17/10/2019;17/10/2019;;;;
7;0007-00-00-03;Squirtle Chapéu de festa;Party hat Squirtle;25/02/2020;25/02/2020;;;;
7;0007-00-00-04;Squirtle Visor;Visor Squirtle;25/07/2020;25/07/2020;;;;
8;0008;Wartortle;Wartortle;06/07/2016;08/07/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
8;0008-00-00-01;Wartortle Óculos escuros;Sunglasses Wartortle;08/07/2018;08/07/2018;;;;
8;0008-00-00-02;Wartortle Chapéu de festa;Party hat Wartortle;09/07/2023;09/07/2023;;;;
9;0009;Blastoise;Blastoise;06/07/2016;08/07/2018;22/07/2019;09/07/2022;10/09/2024;10/09/2024
9;0009-00-00-01;Blastoise Óculos escuros;Sunglasses Blastoise;08/07/2018;08/07/2018;;;;
9;0009-00-00-02;Blastoise Chapéu de festa;Party hat Blastoise;09/07/2023;09/07/2023;;;;
9;0009-00-01;Blastoise Clone;Clone Blastoise;25/02/2020;;;;;
9;0009G;Blastoise Gigamax;Gigantamax Blastoise;26/10/2024;26/10/2024;;;;
9;0009M;Mega Blastoise;Mega Blastoise;27/08/2020;27/08/2020;;;;
10;0010;Caterpie;Caterpie;06/07/2016;01/11/2018;08/10/2024;;24/03/2025;24/03/2025
11;0011;Metapod;Metapod;06/07/2016;01/11/2018;08/10/2024;;24/03/2025;24/03/2025
12;0012;Butterfree;Butterfree;06/07/2016;01/11/2018;08/10/2024;;24/03/2025;24/03/2025
12;0012-00-00-01;Butterfree Gravata;Bow Butterfree;21/09/2021;21/09/2021;;;;
12;0012G;Butterfree Gigamax;Gigantamax Butterfree;03/08/2025;03/08/2025;;;;
13;0013;Weedle;Weedle;06/07/2016;20/06/2020;17/10/2019;;;
14;0014;Kakuna;Kakuna;06/07/2016;20/06/2020;17/10/2019;;;
15;0015;Beedrill;Beedrill;06/07/2016;20/06/2020;17/10/2019;;;
15;0015M;Mega Beedrill;Mega Beedrill;27/08/2020;27/08/2020;;;;
16;0016;Pidgey;Pidgey;06/07/2016;26/02/2019;27/03/2024;03/03/2026;;
17;0017;Pidgeotto;Pidgeotto;06/07/2016;26/02/2019;27/03/2024;03/03/2026;;
18;0018;Pidgeot;Pidgeot;06/07/2016;26/02/2019;27/03/2024;03/03/2026;;
18;0018M;Mega Pidgeot;Mega Pidgeot;18/09/2020;18/09/2020;;;;
19;0019;Rattata;Rattata;06/07/2016;26/02/2019;22/07/2019;;;
19;0019-01;Rattata de Alola;Alolan Rattata;23/06/2018;28/06/2019;03/04/2022;03/03/2026;;
20;0020;Raticate;Raticate;06/07/2016;26/02/2019;22/07/2019;;;
20;0020-00-00-01;Raticate Chapéu de festa;Party hat Raticate;02/01/2020;02/01/2020;31/12/2022;;;
20;0020-01;Raticate de Alola;Alolan Raticate;23/06/2018;28/06/2019;03/04/2022;03/03/2026;;
21;0021;Spearow;Spearow;06/07/2016;20/02/2021;;;;
22;0022;Fearow;Fearow;06/07/2016;20/02/2021;;;;
23;0023;Ekans;Ekans;06/07/2016;25/07/2019;09/07/2020;09/07/2020;;
24;0024;Arbok;Arbok;06/07/2016;25/07/2019;09/07/2020;09/07/2020;;
25;0025;Pikachu;Pikachu;06/07/2016;09/08/2017;;;09/03/2026;09/03/2026
25;0025-00-00-01;Pikachu Gorro de Natal;Santa hat Pikachu;25/12/2016;18/12/2018;;;;
25;0025-00-00-02;Pikachu Chapéu de festa;Party hat Pikachu;26/02/2017;26/02/2018;;;;
25;0025-00-00-03;Pikachu Boné do Ash;Ash hat Pikachu;06/06/2017;01/04/2019;;;;
